iter	RMSE
0	695738.6483
1	554036.2314
2	466407.1211
3	407654.17
4	394359.1145
5	383284.8287
6	344706.4543
7	336860.3242
8	330114.3737
9	304157.7616
10	298301.3502
11	292618.8001
12	282571.1866
13	268683.4132
14	265017.8351
15	258538.3441
16	250610.7974
17	243323.1037
18	241674.1205
19	240102.3631
20	236208.3427
21	231336.9089
22	227731.0524
23	222959.2546
24	220692.696
25	217622.0398
26	213430.1229
27	209977.5955
28	209072.1687
29	205979.3988
30	203727.5834
31	199015.2867
32	195588.4942
33	193986.6217
34	191457.6043
35	189712.1573
36	187897.4804
37	184733.6603
38	182789.9573
39	182247.4523
40	181110.6703
41	178617.8653
42	176743.9846
43	175648.2741
44	174728.5535
45	173106.5034
46	170998.5413
47	169777.466
48	168213.3729
49	167229.7407
50	166392.5702
51	165003.9957
52	163574.9645
53	161428.2406
54	159847.9823
55	159381.2227
56	158220.1946
57	157164.8155
58	156263.515
59	155209.155
60	154226.5945
61	153055.5264
62	152420.3098
63	151795.9064
64	151020.5373
65	150116.5431
66	148505.7935
67	147916.2297
68	147220.3613
69	146444.9767
70	145919.3467
71	145162.5238
72	144189.8945
73	143451.6938
74	142798.1744
75	142097.9674
76	141471.789
77	141001.3512
78	140055.1145
79	138574.2666
80	138070.1324
81	137180.3111
82	136797.9226
83	136169.2305
84	136046.0722
85	135227.5649
86	134769.0461
87	134229.3746
88	133993.9674
89	133452.166
90	133201.6527
91	132555.6382
92	132274.9575
93	131822.6797
94	131516.8652
95	131085.8959
96	130803.7959
97	130036.5336
98	129733.2535
99	129151.1438
