iter	Passed	Remaining
0	3	347
1	6	316
2	9	306
3	12	311
4	15	303
5	18	296
6	22	294
7	24	278
8	26	271
9	30	272
10	33	269
11	36	266
12	39	266
13	42	263
14	46	260
15	48	257
16	52	256
17	55	254
18	59	251
19	62	248
20	65	245
21	68	242
22	71	240
23	74	237
24	77	233
25	81	230
26	84	228
27	87	225
28	90	221
29	93	218
30	97	215
31	100	213
32	103	210
33	106	206
34	109	203
35	113	201
36	116	198
37	119	195
38	123	192
39	126	189
40	129	186
41	132	183
42	136	180
43	139	177
44	143	174
45	146	171
46	149	168
47	152	165
48	156	162
49	160	160
50	163	157
51	167	154
52	171	151
53	174	148
54	177	145
55	181	142
56	184	139
57	188	136
58	191	132
59	194	129
60	198	126
61	201	123
62	204	120
63	207	116
64	211	113
65	214	110
66	217	107
67	221	104
68	224	100
69	227	97
70	230	94
71	234	91
72	237	87
73	240	84
74	244	81
75	247	78
76	250	74
77	253	71
78	257	68
79	261	65
80	264	62
81	268	58
82	271	55
83	275	52
84	278	49
85	281	45
86	284	42
87	288	39
88	291	36
89	295	32
90	298	29
91	301	26
92	304	22
93	308	19
94	311	16
95	314	13
96	318	9
97	321	6
98	324	3
99	328	0
