iter	RMSE
0	883576.906
1	849058.0611
2	815768.4551
3	787124.0726
4	758718.2289
5	730996.4687
6	705832.7858
7	683430.0694
8	659933.2694
9	638651.1461
10	618056.5357
11	599210.2954
12	581351.0665
13	565300.4287
14	549359.4561
15	535878.4364
16	533034.0178
17	520807.2727
18	510893.1274
19	503505.1934
20	500870.4876
21	498302.7086
22	488927.6791
23	486463.7618
24	484065.9004
25	474738.0911
26	472450.985
27	470233.1591
28	467948.8911
29	462029.5512
30	459928.6908
31	457930.0962
32	456192.7889
33	446904.6005
34	444986.7249
35	443150.7054
36	441284.1791
37	434685.263
38	432887.8899
39	431233.8495
40	423085.908
41	421496.8815
42	415883.1992
43	414292.2021
44	412806.4588
45	411362.0807
46	404097.642
47	402708.1379
48	401225.0417
49	393735.8578
50	392312.3101
51	385057.6996
52	383825.0206
53	382554.326
54	381482.2007
55	380342.5898
56	379182.857
57	378035.9725
58	377067.2144
59	370226.9894
60	364195.1194
61	363198.3497
62	359435.6293
63	358572.9332
64	357701.4013
65	351737.2275
66	346307.3925
67	345434.5251
68	344497.6928
69	343676.206
70	342869.0859
71	338812.1427
72	334590.6729
73	333837.9219
74	331228.3247
75	330520.6959
76	325889.7985
77	325197.3889
78	324467.6863
79	322344.7198
80	321715.7609
81	319096.1245
82	318501.1421
83	315436.7292
84	314753.1062
85	314249.78
86	312766.5567
87	312293.857
88	311592.326
89	308107.3854
90	307621.6189
91	303590.5376
92	302992.2345
93	302582.0956
94	302137.8973
95	300251.022
96	297065.1509
97	296655.9605
98	294237.089
99	293789.1968
100	293376.8492
101	293029.0467
102	291421.1203
103	291055.5026
104	290147.2246
105	289700.4468
106	288068.3447
107	285984.3139
108	285714.4978
109	283820.5358
110	282889.4498
111	282555.7033
112	280338.5234
113	278101.7744
114	275989.8214
115	275244.6324
116	274170.2024
117	273888.4556
118	273219.223
119	272992.7367
120	271434.3513
121	271245.3315
122	269043.265
123	268412.6159
124	267789.5277
125	267456.6781
126	266302.0169
127	264178.5141
128	262448.8739
129	262226.0057
130	260573.3813
131	259524.4753
132	258170.2874
133	257920.1643
134	257319.1481
135	257158.1773
136	255735.7487
137	255571.561
138	255454.2161
139	253385.4623
140	252389.7042
141	250812.6932
142	249870.318
143	248449.5622
144	246971.871
145	246018.9547
146	245236.7994
147	244753.6591
148	243750.4977
149	242390.5848
150	241501.5345
151	240462.4833
152	239610.0754
153	239057.4265
154	238395.9253
155	237449.778
156	237302.6776
157	236944.2875
158	236025.7566
159	235011.5378
160	234241.1184
161	233300.8097
162	232622.4552
163	232048.7462
164	231261.6146
165	230315.4195
166	229269.4445
167	228699.8132
168	228312.3724
169	227567.7038
170	226784.3706
171	226254.9328
172	225447.0687
173	224900.2641
174	224629.9483
175	224026.0466
176	223524.2785
177	222973.0085
178	222619.8835
179	222367.3926
180	221374.1265
181	220522.6869
182	219824.8354
183	219228.5117
184	218692.826
185	218286.1984
186	217382.5244
187	216786.9215
188	216332.7361
189	215866.4331
190	215330.5652
191	214931.5155
192	214322.904
193	213924.4784
194	213514.9059
195	213192.2899
196	212462.5204
197	211750.0726
198	211227.8278
199	210270.1107
200	209789.311
201	208926.1971
202	207940.7442
203	207274.3451
204	206801.5278
205	206151.5815
206	205584.0031
207	205011.1826
208	204559.9603
209	203884.3753
210	203242.2555
211	202755.8809
212	202042.0507
213	201766.6066
214	201228.5935
215	200751.5398
216	200203.4592
217	199898.3394
218	199261.9165
219	198835.9612
220	198240.2101
221	197649.1748
222	197102.9857
223	196522.3089
224	196140.6855
225	195514.567
226	195145.8238
227	194615.8487
228	194287.1448
229	193807.5607
230	193251.1337
231	192704.7626
232	192523.1269
233	192128.9634
234	191821.5134
235	191321.2684
236	190841.3704
237	190243.2272
238	189757.5027
239	189275.3155
240	188970.1557
241	188479.5065
242	188384.6687
243	188037.4873
244	187902.5475
245	187737.4891
246	187333.1117
247	187239.1733
248	186783.7803
249	186225.4364
250	185703.2687
251	185581.9624
252	185163.4814
253	184782.4895
254	184708.6334
255	184492.2129
256	184006.7044
257	183698.9638
258	183414.4217
259	183276.9573
260	183178.2835
261	182895.6549
262	182540.15
263	182128.3408
264	181696.1471
265	181586.6623
266	181171.8082
267	180939.4525
268	180623.5881
269	180307.1211
270	180053.7372
271	179995.2969
272	179703.0883
273	179626.3482
274	179557.6178
275	179254.0623
276	178829.6016
277	178746.1906
278	178361.6646
279	177934.6783
280	177869.5641
281	177804.6083
282	177549.7254
283	177264.8671
284	176986.2708
285	176922.6735
286	176862.2946
287	176522.1934
288	176463.5747
289	176237.9239
290	175977.0352
291	175616.0625
292	175343.8434
293	174973.4878
294	174807.3527
295	174610.6584
296	174342.9289
297	174124.5609
298	173706.7889
299	173456.215
300	173197.9828
301	173064.2717
302	172746.1166
303	172484.2311
304	172368.1345
305	172184.5175
306	172065.9941
307	171795.7138
308	171530.271
309	171481.5767
310	171267.3632
311	171027.8574
312	170954.5615
313	170921.6294
314	170666.4399
315	170367.5139
316	170017.57
317	169805.8679
318	169543.8536
319	169281.232
320	169063.1132
321	168946.3054
322	168698.6226
323	168482.7471
324	168325.2886
325	168118.5768
326	168057.0005
327	167816.7164
328	167610.4375
329	167402.5843
330	167142.7942
331	166896.4779
332	166650.8457
333	166512.8447
334	166458.8594
335	166280.9726
336	166132.9899
337	165881.2417
338	165630.5042
339	165578.688
340	165414.3742
341	165164.4236
342	165043.0553
343	164766.1984
344	164628.2506
345	164389.775
346	164360.8611
347	164149.5398
348	164121.5594
349	163983.5044
350	163826.3588
351	163609.3179
352	163356.9023
353	163188.6574
354	162914.4502
355	162887.2604
356	162738.0974
357	162560.7886
358	162335.7413
359	162194.2692
360	162034.1142
361	162007.6203
362	161770.8842
363	161745.3239
364	161622.0895
365	161320.1528
366	161245.2295
367	161105.2798
368	160841.1792
369	160816.3333
370	160656.7863
371	160526.4749
372	160417.6657
373	160194.2443
374	160003.6968
375	159837.3183
376	159767.3214
377	159581.051
378	159480.73
379	159372.5474
380	159299.5088
381	159232.8211
382	159079.458
383	158969.5377
384	158681.9939
385	158565.8642
386	158515.419
387	158436.2898
388	158351.4722
389	158262.6251
390	158094.8374
391	158052.8479
392	157829.2287
393	157671.2354
394	157462.9057
395	157426.0822
396	157390.5821
397	157155.4149
398	157121.1117
399	156942.2783
400	156772.4273
401	156561.3155
402	156471.9945
403	156337.2962
404	156142.1535
405	156006.5024
406	155967.2074
407	155753.1355
408	155720.8386
409	155526.9004
410	155417.2075
411	155354.7125
412	155254.3269
413	155092.0116
414	154892.5547
415	154702.6117
416	154663.3816
417	154465.6957
418	154321.3881
419	154127.229
420	154038.9619
421	154002.6022
422	153860.7446
423	153690.2003
424	153656.5793
425	153490.4323
426	153328.9095
427	153211.3668
428	153062.5683
429	152901.0458
430	152818.8121
431	152731.0261
432	152541.0471
433	152511.7958
434	152377.0018
435	152282.6819
436	152194.4222
437	151993.4329
438	151845.1006
439	151653.8566
440	151542.8413
441	151432.2333
442	151283.6316
443	151185.6753
444	151162.9054
445	151043.4694
446	150914.5862
447	150887.4524
448	150862.6249
449	150698.9736
450	150563.2954
451	150484.3246
452	150412.4205
453	150335.8925
454	150153.2623
455	150003.0764
456	149951.1954
457	149818.6369
458	149699.3975
459	149568.8631
460	149457.3516
461	149381.4231
462	149195.8877
463	149093.2814
464	148980.9713
465	148832.7904
466	148731.5935
467	148612.2413
468	148471.5002
469	148320.8102
470	148241.8043
471	148151.4345
472	148020.3795
473	147911.8516
474	147769.6306
475	147612.0505
476	147498.471
477	147322.7718
478	147129.984
479	147052.2746
480	147002.9303
481	146917.3264
482	146872.7452
483	146699.8242
484	146623.1954
485	146511.5555
486	146478.2237
487	146360.3115
488	146279.4492
489	146129.0798
490	145965.708
491	145907.464
492	145885.9426
493	145786.8199
494	145744.5942
495	145622.2279
496	145554.5759
497	145461.154
498	145384.8245
499	145268.4046
500	145187.6997
501	145124.3576
502	145108.5587
503	145000.9857
504	144918.9858
505	144824.0677
506	144667.579
507	144561.3738
508	144485.3133
509	144454.2677
510	144310.8865
511	144281.3307
512	144165.0456
513	144150.1516
514	144045.0626
515	143951.5499
516	143810.0234
517	143698.3207
518	143542.3944
519	143482.0059
520	143358.7022
521	143264.9484
522	143167.2472
523	143157.472
524	143069.127
525	143055.1328
526	142972.5193
527	142940.7127
