iter	Passed	Remaining
0	5	5836
1	9	4788
2	13	4480
3	18	4651
4	23	4602
5	27	4494
6	33	4774
7	37	4686
8	41	4531
9	44	4422
10	49	4460
11	54	4510
12	58	4461
13	63	4448
14	68	4475
15	71	4418
16	75	4372
17	81	4431
18	87	4497
19	91	4482
20	95	4447
21	99	4422
22	103	4378
23	107	4355
24	110	4323
25	115	4312
26	119	4324
27	122	4256
28	126	4240
29	132	4270
30	138	4315
31	140	4260
32	144	4222
33	149	4248
34	154	4246
35	158	4235
36	163	4265
37	168	4260
38	172	4246
39	176	4245
40	182	4273
41	186	4253
42	191	4255
43	195	4242
44	199	4236
45	203	4217
46	209	4240
47	213	4242
48	218	4242
49	224	4266
50	230	4284
51	235	4289
52	241	4307
53	245	4301
54	249	4288
55	254	4290
56	259	4294
57	263	4274
58	267	4261
59	272	4269
60	277	4274
61	281	4261
62	287	4272
63	291	4263
64	295	4257
65	300	4257
66	306	4270
67	311	4264
68	316	4266
69	322	4279
70	326	4277
71	331	4277
72	337	4279
73	341	4267
74	345	4255
75	347	4229
76	353	4236
77	357	4225
78	361	4216
79	366	4218
80	372	4224
81	376	4215
82	382	4223
83	386	4219
84	391	4214
85	396	4219
86	402	4222
87	405	4202
88	409	4196
89	415	4205
90	420	4198
91	424	4188
92	429	4186
93	433	4178
94	437	4170
95	442	4162
96	447	4165
97	451	4158
98	456	4150
99	460	4146
100	466	4149
101	471	4148
102	476	4152
103	482	4157
104	487	4154
105	493	4159
106	498	4162
107	503	4156
108	506	4138
109	512	4143
110	516	4136
111	520	4127
112	526	4132
113	530	4125
114	535	4118
115	540	4116
116	544	4112
117	548	4101
118	553	4098
119	558	4097
120	563	4091
121	566	4073
122	572	4081
123	576	4075
124	581	4070
125	586	4070
126	591	4068
127	596	4064
128	603	4072
129	608	4071
130	613	4068
131	621	4085
132	628	4093
133	636	4115
134	642	4119
135	650	4135
136	658	4147
137	668	4178
138	674	4175
139	684	4205
140	691	4215
141	699	4225
142	705	4227
143	711	4230
144	718	4236
145	724	4234
146	731	4243
147	737	4242
148	742	4241
149	749	4244
150	754	4242
151	762	4254
152	769	4257
153	775	4259
154	782	4263
155	788	4266
156	796	4275
157	802	4277
158	809	4280
159	815	4282
160	822	4283
161	829	4289
162	834	4284
163	841	4288
164	846	4286
165	852	4284
166	860	4291
167	865	4288
168	874	4299
169	880	4298
170	886	4297
171	894	4306
172	899	4300
173	906	4304
174	915	4316
175	923	4322
176	931	4333
177	939	4339
178	946	4340
179	954	4347
180	966	4373
181	977	4394
182	987	4407
183	993	4404
184	1002	4418
185	1009	4418
186	1017	4425
187	1024	4423
188	1032	4430
189	1038	4429
190	1048	4440
191	1055	4441
192	1068	4467
193	1085	4508
194	1098	4535
195	1114	4571
196	1124	4583
197	1136	4601
198	1149	4626
199	1155	4623
200	1169	4650
201	1183	4675
202	1195	4692
203	1204	4701
204	1221	4735
205	1234	4756
206	1247	4779
207	1260	4798
208	1271	4813
209	1293	4866
210	1300	4861
211	1310	4869
212	1320	4879
213	1330	4887
214	1343	4904
215	1355	4921
216	1364	4924
217	1379	4946
218	1389	4956
219	1397	4954
220	1405	4954
221	1411	4948
222	1421	4952
223	1430	4956
224	1440	4962
225	1446	4954
226	1454	4954
227	1461	4948
228	1472	4956
229	1477	4947
230	1485	4944
231	1490	4933
232	1494	4920
233	1502	4917
234	1507	4906
235	1512	4894
236	1518	4887
237	1522	4875
238	1527	4864
239	1538	4870
240	1545	4868
241	1552	4863
242	1557	4853
243	1565	4849
244	1571	4841
245	1576	4833
246	1582	4824
247	1588	4815
248	1594	4810
249	1599	4799
250	1604	4788
251	1611	4782
252	1616	4772
253	1621	4763
254	1628	4758
255	1634	4750
256	1642	4749
257	1649	4743
258	1655	4736
259	1661	4728
260	1666	4719
261	1673	4713
262	1678	4704
263	1683	4692
264	1690	4689
265	1695	4678
266	1700	4667
267	1707	4664
268	1712	4652
269	1717	4643
270	1723	4636
271	1728	4626
272	1735	4621
273	1740	4610
274	1745	4600
275	1752	4596
276	1756	4585
277	1761	4574
278	1768	4568
279	1772	4558
280	1777	4547
281	1782	4538
282	1787	4527
283	1791	4516
284	1796	4507
285	1801	4497
286	1806	4486
287	1811	4477
288	1816	4469
289	1821	4460
290	1827	4452
291	1833	4446
292	1845	4453
293	1854	4453
294	1861	4447
295	1867	4441
296	1871	4430
297	1878	4425
298	1882	4414
299	1887	4403
300	1892	4395
301	1897	4386
302	1903	4377
303	1910	4373
304	1915	4364
305	1920	4354
306	1927	4350
307	1932	4340
308	1937	4333
309	1943	4325
310	1947	4315
311	1953	4307
312	1959	4300
313	1963	4289
314	1968	4281
315	1974	4272
316	1978	4262
317	1983	4252
318	1988	4244
319	1992	4233
320	1996	4223
321	2002	4216
322	2006	4206
323	2011	4196
324	2017	4189
325	2021	4179
326	2025	4168
327	2030	4159
328	2035	4151
329	2039	4140
330	2043	4130
331	2049	4123
332	2053	4113
333	2058	4103
334	2062	4094
335	2067	4085
336	2071	4075
337	2075	4064
338	2081	4058
339	2085	4048
340	2089	4038
341	2095	4032
342	2100	4022
343	2104	4013
344	2108	4003
345	2113	3995
346	2117	3984
347	2121	3974
348	2125	3964
349	2130	3955
350	2134	3946
351	2138	3935
352	2143	3929
353	2148	3920
354	2152	3910
355	2159	3905
356	2163	3896
357	2167	3887
358	2172	3879
359	2178	3872
360	2182	3863
361	2186	3853
362	2191	3846
363	2195	3836
364	2199	3826
365	2205	3820
366	2210	3812
367	2214	3803
368	2218	3794
369	2223	3785
370	2227	3775
371	2231	3766
372	2235	3757
373	2240	3750
374	2244	3741
375	2249	3733
376	2255	3727
377	2259	3718
378	2264	3709
379	2270	3704
380	2275	3697
381	2280	3688
382	2286	3683
383	2291	3675
384	2295	3667
385	2302	3661
386	2306	3654
387	2311	3646
388	2317	3640
389	2322	3632
390	2326	3624
391	2333	3619
392	2338	3611
393	2343	3603
394	2350	3599
395	2354	3591
396	2359	3584
397	2367	3580
398	2372	3573
399	2377	3565
400	2382	3559
401	2386	3550
402	2390	3541
403	2396	3535
404	2401	3527
405	2404	3518
406	2410	3511
407	2414	3503
408	2418	3494
409	2422	3486
410	2429	3481
411	2433	3472
412	2437	3465
413	2443	3458
414	2448	3451
415	2452	3443
416	2459	3439
417	2463	3430
418	2468	3422
419	2474	3417
420	2478	3409
421	2482	3400
422	2486	3391
423	2491	3385
424	2495	3376
425	2499	3368
426	2504	3360
427	2509	3354
428	2513	3346
429	2518	3338
430	2523	3331
431	2529	3325
432	2533	3317
433	2539	3311
434	2543	3303
435	2547	3295
436	2552	3289
437	2557	3281
438	2561	3273
439	2566	3265
440	2572	3260
441	2576	3252
442	2579	3243
443	2586	3238
444	2589	3230
445	2593	3222
446	2599	3216
447	2605	3209
448	2609	3201
449	2615	3196
450	2619	3189
451	2623	3181
452	2627	3173
453	2633	3166
454	2637	3159
455	2641	3151
456	2646	3144
457	2651	3137
458	2655	3129
459	2659	3121
460	2665	3116
461	2669	3108
462	2673	3100
463	2679	3095
464	2683	3087
465	2687	3080
466	2693	3073
467	2698	3068
468	2703	3061
469	2710	3056
470	2715	3050
471	2720	3043
472	2725	3037
473	2730	3029
474	2735	3023
475	2740	3017
476	2746	3010
477	2750	3004
478	2757	2999
479	2763	2993
480	2767	2986
481	2774	2982
482	2779	2975
483	2784	2968
484	2791	2963
485	2795	2957
486	2800	2950
487	2806	2944
488	2810	2936
489	2814	2929
490	2820	2923
491	2824	2916
492	2828	2908
493	2833	2901
494	2838	2895
495	2842	2888
496	2846	2881
497	2854	2877
498	2859	2871
499	2864	2864
500	2871	2859
501	2876	2853
502	2883	2848
503	2889	2843
504	2894	2836
505	2900	2832
506	2905	2825
507	2910	2818
508	2915	2812
509	2920	2805
510	2924	2798
511	2929	2792
512	2935	2786
513	2939	2779
514	2945	2774
515	2951	2768
516	2956	2762
517	2964	2758
518	2968	2751
519	2973	2744
520	2980	2740
521	2985	2733
522	2990	2727
523	2995	2720
524	2999	2713
525	3003	2706
526	3009	2701
527	3013	2694
528	3017	2686
529	3022	2679
530	3027	2674
531	3032	2667
532	3036	2660
533	3043	2655
534	3047	2649
535	3052	2642
536	3059	2637
537	3063	2630
538	3067	2623
539	3073	2617
540	3077	2610
541	3080	2603
542	3086	2598
543	3091	2591
544	3095	2584
545	3098	2576
546	3103	2570
547	3107	2563
548	3111	2556
549	3115	2549
550	3122	2544
551	3126	2537
552	3130	2530
553	3136	2525
554	3140	2518
555	3145	2511
556	3151	2506
557	3156	2500
558	3159	2492
